Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors
K.V.O. programmas 1893-97_00111-20211201_115200.jpg,1893-1897,Het Meilief,1894-04-05,,False,364826,Het Meilief,NL,Peter Benoit,1893,Het Meilief,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00113-20211201_115221.jpg,1893-1897,De Vliegende Hollander,1894-04-14,,False,359829,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00115-20211201_115246.jpg,1893-1897,Het Meilief,1894-04-19,,False,506326,Het Meilief,NL,Peter Benoit,1893,Het Meilief,lyrisch drama,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00117-20211201_115308.jpg,1893-1897,De Vrijschutter,1894-04-21,,False,243349,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freisch¸tz,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00119-20211201_115324.jpg,1893-1897,De Vliegende Hollander,1894-04-24,,False,625906,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1893-1894,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00121-20211201_115347.jpg,1893-1897,Euryanthe,1894-10-06,Openingsvertoning,False,694796,Euryanthe,DUI,Carl Maria von Weber,1823,Euryanthe,romantisch zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00121-20211201_115347.jpg,1893-1897,Euryanthe,1894-10-09,,False,937893,Euryanthe,DUI,Carl Maria von Weber,1823,Euryanthe,romantisch zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00123-20211201_115431.jpg,1893-1897,Czaar en Timmerman,1894-10-13,,False,387284,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00125-20211201_115453.jpg,1893-1897,Czaar en Timmerman,1894-10-16,,False,735940,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00127-20211201_115516.jpg,1893-1897,Euryanthe,1894-10-20,,False,733746,Euryanthe,DUI,Carl Maria von Weber,1823,Euryanthe,romantisch zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00129-20211201_115540.jpg,1893-1897,Czaar en Timmerman,1894-10-23,,False,270957,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00129-20211201_115540.jpg,1893-1897,Czaar en Timmerman,1894-10-27,,False,993817,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00131-20211201_115608.jpg,1893-1897,De Vrijschutter,1894-10-30,,False,390986,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freisch¸tz,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00133-20211201_115740.jpg,1893-1897,Czaar en Timmerman,1894-11-03,,False,139537,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00135-20211201_115803.jpg,1893-1897,De Vliegende Hollander,1894-11-06,,False,918351,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00137-20211201_115828.jpg,1893-1897,De Vliegende Hollander,1894-11-10,,False,534481,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00139-20211201_115851.jpg,1893-1897,Preciosa,1894-11-13,,False,363168,Preciosa,DUI,Carl Maria von Weber,1821,Preciosa,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00141-20211201_115909.jpg,1893-1897,De Vliegende Hollander,1894-11-17,,False,215102,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00143-20211201_115929.jpg,1893-1897,Bergliot,1894-11-20,,False,301663,Bergliot,NOR,Edvard Grieg,?,Bergliot,lyrisch drama,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00147-20211201_120006.jpg,1893-1897,Czaar en Timmerman,1894-11-24,gala-vertoning,False,677912,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00151-20211201_120129.jpg,1893-1897,Ondine,1894-12-04,Eerste vertoning,False,642995,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00153-20211201_120142.jpg,1893-1897,De Vliegende Hollander,1894-12-01,gala-vertoning,False,181436,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00155-20211201_120207.jpg,1893-1897,De Vliegende Hollander,1894-12-07,,False,801227,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00157-20211201_120230.jpg,1893-1897,Ondine,1894-12-08,,False,436591,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00159-20211201_120249.jpg,1893-1897,Ondine,1894-12-11,,False,857689,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00161-20211201_120327.jpg,1893-1897,Ondine,1894-12-15,Gala-vertoning,False,512487,Ondine,DUI,Albert Lortzing,1845,Undine,toverzangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00163-20211201_120347.jpg,1893-1897,Czaar en Timmerman,1894-12-26,,False,774376,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,1894-1895,Edward Keurvels & Henry Fontaine
K.V.O. programmas 1893-97_00165-20211201_120410.jpg,1893-1897,Jeanne D'Arc,1894-12-18,,False,807125,Jeanne D'Arc,FR,Charles Gounod,1873,Jeanne d'Arc,trag√©die lyrique,1894-1895,Edward Keurvels & Henry Fontaine
