Image,Collection,Production,Date,Occasion,Multiple bill,Performances_ID,Normalised title,Original language,Composer,Original premiere,Original title,genre,Season,Directors
1926-1927_00378-20220208_111400.jpg,1926-1927,Orpheus,13/02/1927,,False,111803,Orpheus' Dood,FR,Jacques Offenbach,1858,Orph√©e aux enfers,operetta,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00380-20220208_111414.jpg,1926-1927,Faust,13/02/1927,,False,524076,Faust,FR,Charles Gounod,1859,Faust,grand opera,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00382-20220208_111430.jpg,1926-1927,Carmen,15/02/1927,,False,873919,Carmen,FR,Georges Bizet,1875,Carmen,op√©ra comique,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00384-20220208_111442.jpg,1926-1927,Faust,17/02/1927,,False,536837,Faust,FR,Charles Gounod,1859,Faust,grand opera,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00386-20220208_111455.jpg,1926-1927,Tannhauser,19/02/1927,,False,920846,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00390-20220208_111523.jpg,1926-1927,Faust,20/02/1927,,False,836613,Faust,FR,Charles Gounod,1859,Faust,grand opera,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00392-20220208_111537.jpg,1926-1927,Laagland,20/02/1927,,False,684688,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00394-20220208_111554.jpg,1926-1927,De Rozenkavalier,22/02/1927,,False,735629,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00398-20220208_111627.jpg,1926-1927,Tannhauser,24/02/1927,,False,204637,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00402-20220208_111657.jpg,1926-1927,Faust,26/02/1927,ter gelegenheid van carnaval,False,385256,Faust,FR,Charles Gounod,1859,Faust,grand opera,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00404-20220208_111711.jpg,1926-1927,Carmen,27/02/1927,ter gelegenheid van carnaval,False,884892,Carmen,FR,Georges Bizet,1875,Carmen,op√©ra comique,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00406-20220208_111723.jpg,1926-1927,Jenufa,27/02/1927,ter gelegenheid van carnaval,False,147958,Jenufa,TSJ,Leo≈° Jan‡ƒçek,1904,Jen≈Øfa,?,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00410-20220208_111750.jpg,1926-1927,Faust,28/02/1927,ter gelegenheid van carnaval,False,650320,Faust,FR,Charles Gounod,1859,Faust,grand opera,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00412-20220208_111803.jpg,1926-1927,Hoffmann's Vertellingenen,01/03/1927,ter gelegenheid van carnaval,False,919509,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,op√©ra fantastique,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00414-20220208_111816.jpg,1926-1927,Lenteoffer,05/03/1927,gala eerste vertoning in Belgi√´,False,504343,Lenteoffer,N/A,Igor Stravinsky,1913,–í–µ—Å–Ω–∞ —Å–≤—è—â–µ–Ω–Ω–∞—è,ballet,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00414-20220208_111816.jpg,1926-1927,Lenteoffer,06/03/1927,gala,False,968373,Lenteoffer,N/A,Igor Stravinsky,1913,–í–µ—Å–Ω–∞ —Å–≤—è—â–µ–Ω–Ω–∞—è,ballet,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00416-20220208_111830.jpg,1926-1927,Faust,06/03/1927,,False,613502,Faust,FR,Charles Gounod,1859,Faust,grand opera,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00418-20220208_111843.jpg,1926-1927,Tannhauser,08/03/1927,,False,517677,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00422-20220208_111907.jpg,1926-1927,De tragedie van Salom√©,10/03/1927,,True,914283,De tragedie van Salom√©,N/A,N/A,N/A,N/A,N/A,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00422-20220208_111907.jpg,1926-1927,Lenteoffer,10/03/1927,,True,914283,Lenteoffer,N/A,Igor Stravinsky,1913,–í–µ—Å–Ω–∞ —Å–≤—è—â–µ–Ω–Ω–∞—è,ballet,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00426-20220208_111926.jpg,1926-1927,Carmen,12/03/1927,,False,957546,Carmen,FR,Georges Bizet,1875,Carmen,op√©ra comique,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00428-20220208_111936.jpg,1926-1927,Lenteoffer,13/03/1927,,False,619780,Lenteoffer,N/A,Igor Stravinsky,1913,–í–µ—Å–Ω–∞ —Å–≤—è—â–µ–Ω–Ω–∞—è,ballet,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00430-20220208_111950.jpg,1926-1927,Tannhauser,13/03/1927,,False,562878,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00434-20220208_112017.jpg,1926-1927,Siegfried,15/03/1927,gala,False,733312,Siegfried,DUI,Richard Wagner,1871,Siegfried,gesamtkunstwerk,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00438-20220208_112039.jpg,1926-1927,Faust,17/03/1927,,False,124957,Faust,FR,Charles Gounod,1859,Faust,grand opera,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00440-20220208_112054.jpg,1926-1927,Jenufa,19/03/1927,,True,165062,Jenufa,TSJ,Leo≈° Jan‡ƒçek,1904,Jen≈Øfa,?,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00440-20220208_112054.jpg,1926-1927,De Tooverbeiaard,19/03/1927,,True,165062,De Tooverbeiaard,N/A,Pick-Mangiagalli,?,?,?,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00444-20220208_112118.jpg,1926-1927,Hoffmann's Vertellingenen,20/03/1927,,False,637741,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,op√©ra fantastique,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00446-20220208_112129.jpg,1926-1927,Faust,20/03/1927,,False,620161,Faust,FR,Charles Gounod,1859,Faust,grand opera,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00448-20220208_112141.jpg,1926-1927,Tannhauser,22/03/1927,"gala, de leden van 'De Vlaamsche Toeristenbord'",False,133110,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00450-20220208_112155.jpg,1926-1927,Fidelio,24/03/1927,"gala, ter herdenking van Beethoven's 100e sterfdag",False,972841,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00454-20220208_112216.jpg,1926-1927,Tannhauser,26/03/1927,,False,213452,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00458-20220208_112241.jpg,1926-1927,Fidelio,27/03/1927,ter herdenking van Beethoven's 100e sterfdag,False,938908,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00462-20220208_112305.jpg,1926-1927,Carmen,27/03/1927,,False,488641,Carmen,FR,Georges Bizet,1875,Carmen,op√©ra comique,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00465-20220208_112355.jpg,1926-1927,Faust,29/03/1927,,False,845774,Faust,FR,Charles Gounod,1859,Faust,grand opera,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00467-20220208_112410.jpg,1926-1927,Siegfried,31/03/1927,,False,881957,Siegfried,DUI,Richard Wagner,1871,Siegfried,gesamtkunstwerk,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00471-20220208_112438.jpg,1926-1927,Pell√©as en M√©lisande,02/04/1927,gala,False,840518,Pell√©as en M√©lisande,FR,Claude Debussy,1902,Pell√©as et M√©lisande,symbolist opera,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00473-20220208_112453.jpg,1926-1927,Faust,03/04/1927,,False,972638,Faust,FR,Charles Gounod,1859,Faust,grand opera,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00475-20220208_112516.jpg,1926-1927,Fidelio,03/04/1927,,False,579840,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00479-20220208_112541.jpg,1926-1927,Fidelio,05/04/1927,,False,336007,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00483-20220208_112614.jpg,1926-1927,Tannhauser,07/04/1927,gala,False,128335,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00487-20220208_112631.jpg,1926-1927,Jenufa,09/04/1927,Eerste opvoering in Belgi√´,True,794281,Jenufa,TSJ,Leo≈° Jan‡ƒçek,1904,Jen≈Øfa,?,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00487-20220208_112631.jpg,1926-1927,De Bacchanale,09/04/1927,Eerste opvoering in Belgi√´,True,794281,De Bacchanale,N/A,Ebbe Hamerik,1926,Dionysia,ballet,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00493-20220208_112703.jpg,1926-1927,Pell√©as en M√©lisande,10/04/1927,,False,387095,Pell√©as en M√©lisande,FR,Claude Debussy,1902,Pell√©as et M√©lisande,symbolist opera,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00495-20220208_112715.jpg,1926-1927,Faust,10/04/1927,,False,906405,Faust,FR,Charles Gounod,1859,Faust,grand opera,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00497-20220208_112725.jpg,1926-1927,Lenteoffer,12/04/1927,,False,310703,Lenteoffer,N/A,Igor Stravinsky,1913,–í–µ—Å–Ω–∞ —Å–≤—è—â–µ–Ω–Ω–∞—è,ballet,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00499-20220208_112734.jpg,1926-1927,Parsifal,15/04/1927,,False,356378,Parsifal,DUI,Richard Wagner,1882,Parsifal,music drama,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00503-20220208_112757.jpg,1926-1927,Fidelio,16/04/1927,,False,250275,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00507-20220208_112823.jpg,1926-1927,Faust,17/04/1927,,False,570369,Faust,FR,Charles Gounod,1859,Faust,grand opera,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00509-20220208_112841.jpg,1926-1927,Carmen,17/04/1927,,False,202809,Carmen,FR,Georges Bizet,1875,Carmen,op√©ra comique,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00511-20220208_112853.jpg,1926-1927,Parsifal,18/04/1927,ter gelegenheid van het Paaschfeest,False,815649,Parsifal,DUI,Richard Wagner,1882,Parsifal,music drama,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00515-20220208_112926.jpg,1926-1927,Tannhauser,19/04/1927,gala,False,944928,Tannhauser,DUI,Richard Wagner,1845,Tannh√§user,romantische oper,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00519-20220208_112949.jpg,1926-1927,Carmen,21/04/1927,,False,363711,Carmen,FR,Georges Bizet,1875,Carmen,op√©ra comique,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00521-20220208_113004.jpg,1926-1927,Jean-Marie,23/04/1927,,True,860241,Jean-Marie,?,W. Verbeeck,?,?,drama,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00521-20220208_113004.jpg,1926-1927,Orpheus,23/04/1927,,True,860241,Orpheus,ITA,Christoph Willibald Gluck,1762,Orfeo ed Euridice,opera seria,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00525-20220208_113027.jpg,1926-1927,Hoffmann's Vertellingenen,24/04/1927,,False,586102,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,op√©ra fantastique,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00527-20220208_113039.jpg,1926-1927,Faust,24/04/1927,,False,691413,Faust,FR,Charles Gounod,1859,Faust,grand opera,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00529-20220208_113047.jpg,1926-1927,Tristan en Isolde,26/04/1927,gala,False,386699,Tristan en Isolde,DUI,Richard Wagner,1860,Tristan und Isolde,gesamtkunstwerk,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00533-20220208_113108.jpg,1926-1927,Sadko,28/04/1927,,False,980814,Sadko,RUS,Nikolay Rimsky-Korsakov,1898,Sadko,lyrical opera,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00535-20220208_113118.jpg,1926-1927,Faust,30/04/1927,,False,874617,Faust,FR,Charles Gounod,1859,Faust,grand opera,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00537-20220208_113127.jpg,1926-1927,Parsifal,01/05/1927,,False,559409,Parsifal,DUI,Richard Wagner,1882,Parsifal,music drama,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00541-20220208_113148.jpg,1926-1927,Fidelio,03/05/1927,Eereavond,False,370710,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1926-1927,FÈ Derickx & Bernard Tokkie
1926-1927_00544-20220208_113214.jpg,1926-1927,Parsifal,05/05/1927,Sluiting van het toneeljaar,False,399435,Parsifal,DUI,Richard Wagner,1882,Parsifal,music drama,1926-1927,FÈ Derickx & Bernard Tokkie
1927-1928_00005-20220208_125403.jpg,1927-1928,Lohengrin,13/09/1927,"gala, opening van het toneeljaar",False,601324,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00011-20220208_125456.jpg,1927-1928,Martha,15/09/1927,,False,450256,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00015-20220208_125531.jpg,1927-1928,De Verkochte Bruid,17/09/1927,,False,701419,De Verkochte Bruid,TSJ,"Bed≈ôich	Smetana",1866,The Bartered Bride,czech national opera,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00021-20220208_125620.jpg,1927-1928,Lohengrin,18/09/1927,,False,877159,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00027-20220208_125709.jpg,1927-1928,Martha,20/09/1927,,False,844572,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00031-20220208_125745.jpg,1927-1928,De Verkochte Bruid,22/09/1927,,False,152087,De Verkochte Bruid,TSJ,"Bed≈ôich	Smetana",1866,The Bartered Bride,czech national opera,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00037-20220208_125836.jpg,1927-1928,Herbergprinses,24/09/1927,,False,421653,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00039-20220208_125854.jpg,1927-1928,Lohengrin,25/09/1927,,False,880583,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00045-20220208_125943.jpg,1927-1928,Martha,25/09/1927,,False,319695,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00049-20220208_130013.jpg,1927-1928,De Verkochte Bruid,27/09/1927,,False,776783,De Verkochte Bruid,TSJ,"Bed≈ôich	Smetana",1866,The Bartered Bride,czech national opera,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00055-20220208_130101.jpg,1927-1928,Lohengrin,29/09/1927,,False,385377,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00061-20220208_130152.jpg,1927-1928,Lohengrin,02/10/1927,,False,619809,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00067-20220208_130252.jpg,1927-1928,Martha,02/10/1927,,False,467315,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00071-20220208_130328.jpg,1927-1928,Herbergprinses,02/10/1927,,False,270040,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00073-20220208_130349.jpg,1927-1928,Herbergprinses,04/10/1927,,False,225298,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00075-20220208_130407.jpg,1927-1928,Othello,06/10/1927,,False,485791,Othello,TSJ,Anton√≠n Dvo≈ô‡k,1891,Othello,opera seria,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00077-20220208_130427.jpg,1927-1928,Dansenreeks,08/10/1927,,True,937517,Dansenreeks,?,?,?,?,ballet,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00077-20220208_130427.jpg,1927-1928,Martha,08/10/1927,,True,937517,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00081-20220208_130504.jpg,1927-1928,De Verkochte Bruid,09/10/1927,,False,435850,De Verkochte Bruid,TSJ,"Bed≈ôich	Smetana",1866,The Bartered Bride,czech national opera,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00087-20220208_130550.jpg,1927-1928,Othello,09/10/1927,,False,435306,Othello,TSJ,Anton√≠n Dvo≈ô‡k,1891,Othello,opera seria,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00089-20220208_130607.jpg,1927-1928,De Vliegende Hollander,11/10/1927,,False,538884,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00095-20220208_130657.jpg,1927-1928,Herbergprinses,13/10/1927,,False,353282,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00097-20220208_130712.jpg,1927-1928,De Vliegende Hollander,15/10/1927,,False,998497,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00103-20220208_130756.jpg,1927-1928,Othello,16/10/1927,,False,620865,Othello,TSJ,Anton√≠n Dvo≈ô‡k,1891,Othello,opera seria,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00105-20220208_130810.jpg,1927-1928,De Verkochte Bruid,16/10/1927,,False,771694,De Verkochte Bruid,TSJ,"Bed≈ôich	Smetana",1866,The Bartered Bride,czech national opera,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00111-20220208_130854.jpg,1927-1928,Othello,18/10/1927,,False,438645,Othello,TSJ,Anton√≠n Dvo≈ô‡k,1891,Othello,opera seria,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00113-20220208_130907.jpg,1927-1928,Hoffmann's Vertellingenen,20/10/1927,,False,241262,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,op√©ra fantastique,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00117-20220208_130938.jpg,1927-1928,Othello,22/10/1927,,False,326232,Othello,TSJ,Anton√≠n Dvo≈ô‡k,1891,Othello,opera seria,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00119-20220208_130952.jpg,1927-1928,Herbergprinses,23/10/1927,,False,233943,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00121-20220208_131005.jpg,1927-1928,De Vliegende Hollander,23/10/1927,,False,704693,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00127-20220208_131047.jpg,1927-1928,Fidelio,25/10/1927,gala,False,929483,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00133-20220208_131146.jpg,1927-1928,De Vliegende Hollander,27/10/1927,,False,639489,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00139-20220208_131245.jpg,1927-1928,Gisella,29/10/1927,Eerste opvoering van Gisella,True,776524,Gisella,N/A,Adolphe Adam,1841,"Giselle, ou les Wilis",ballet,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00139-20220208_131245.jpg,1927-1928,Martha,29/10/1927,Eerste opvoering van Gisella,True,776524,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00145-20220208_131325.jpg,1927-1928,De Vliegende Hollander,30/10/1927,,False,196928,De Vliegende Hollander,DEE,Richard Wagner,1843,Der fliegende Holl√§nder,romantische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00151-20220208_131412.jpg,1927-1928,Hoffmann's Vertellingenen,30/10/1927,,False,296011,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,op√©ra fantastique,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00155-20220208_131443.jpg,1927-1928,Gisella,01/11/1927,,True,151793,Gisella,N/A,Adolphe Adam,1841,"Giselle, ou les Wilis",ballet,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00155-20220208_131443.jpg,1927-1928,Martha,01/11/1927,,True,151793,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00161-20220208_131528.jpg,1927-1928,Hoffmann's Vertellingenen,05/11/1927,,False,779925,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,op√©ra fantastique,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00165-20220208_131601.jpg,1927-1928,Lohengrin,06/11/1927,,False,526338,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00171-20220208_131639.jpg,1927-1928,Dansenreeks,06/11/1927,,True,424344,Dansenreeks,?,?,?,?,ballet,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00171-20220208_131639.jpg,1927-1928,Martha,06/11/1927,,True,424344,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00177-20220208_131720.jpg,1927-1928,Sn√©gourotchka,08/11/1927,"gala, eerste opvoering in Belgi√´",False,663074,Sn√©gourotchka,RUS,Nikolay Rimsky-Korsakov,1882,–°–Ω–µ–≥—É—Ä–æ—á–∫–∞,lentespel,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00183-20220208_131803.jpg,1927-1928,Fidelio,10/11/1927,,False,939261,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00189-20220208_131847.jpg,1927-1928,Sn√©gourotchka,12/11/1927,,False,642286,Sn√©gourotchka,RUS,Nikolay Rimsky-Korsakov,1882,–°–Ω–µ–≥—É—Ä–æ—á–∫–∞,lentespel,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00195-20220208_131949.jpg,1927-1928,Hoffmann's Vertellingenen,13/11/1927,,False,425161,Hoffmann's Vertellingenen,FR,Jacques Offenbach,1881,Les contes d'Hoffmann,op√©ra fantastique,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00199-20220208_132015.jpg,1927-1928,Quinten Massys,15/11/1927,"gala, de leden der Vereeniging der Meester Kleermakers aangeboden",True,260220,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00199-20220208_132015.jpg,1927-1928,De Wals,15/11/1927,"gala, de leden der Vereeniging der Meester Kleermakers aangeboden",True,260220,De Wals,N/A,Maurice Ravel,1920,La Valse,ballet,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00203-20220208_132045.jpg,1927-1928,Sn√©gourotchka,17/11/1927,,False,129642,Sn√©gourotchka,RUS,Nikolay Rimsky-Korsakov,1882,–°–Ω–µ–≥—É—Ä–æ—á–∫–∞,lentespel,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00209-20220208_132133.jpg,1927-1928,Sn√©gourotchka,19/11/1927,,False,340991,Sn√©gourotchka,RUS,Nikolay Rimsky-Korsakov,1882,–°–Ω–µ–≥—É—Ä–æ—á–∫–∞,lentespel,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00215-20220208_132215.jpg,1927-1928,Othello,20/11/1927,,False,900781,Othello,TSJ,Anton√≠n Dvo≈ô‡k,1891,Othello,opera seria,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00217-20220208_132226.jpg,1927-1928,Sn√©gourotchka,20/11/1927,,False,988832,Sn√©gourotchka,RUS,Nikolay Rimsky-Korsakov,1882,–°–Ω–µ–≥—É—Ä–æ—á–∫–∞,lentespel,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00223-20220208_132309.jpg,1927-1928,Lohengrin,22/11/1927,gala,False,464620,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00230-20220208_132406.jpg,1927-1928,De Rozenkavalier,24/11/1927,,False,402785,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00236-20220208_132522.jpg,1927-1928,Quinten Massys,26/11/1927,,True,450131,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00236-20220208_132522.jpg,1927-1928,De Wals,26/11/1927,,True,450131,De Wals,N/A,Maurice Ravel,1920,La Valse,ballet,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00240-20220208_132550.jpg,1927-1928,Dansenreeks,27/11/1927,,True,386098,Dansenreeks,?,?,?,?,ballet,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00240-20220208_132550.jpg,1927-1928,Martha,27/11/1927,,True,386098,Martha,DUI,Friedrich von Flotow,1847,Martha,komische oper,1927-1928,FÈ Derickx & Bernard Tokkie
1927-1928_00246-20220208_132647.jpg,1927-1928,Fidelio,27/11/1927,,False,429503,Fidelio,DUI,Ludwig van Beethoven,1805,Fidelio,rettungsoper,1927-1928,FÈ Derickx & Bernard Tokkie
