,Date,Original premiere,Directors,Normalised title,Composer,Multiple bill,Multiple bill,Season,Occasion,Language,Dutch,German
108,1895-04-06,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,False,1894-1895,N,German,False,True
109,1895-04-07,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,False,1894-1895,N,German,False,True
110,1895-04-09,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,False,1894-1895,N,German,False,True
111,1895-04-11,?,Edward Keurvels & Henry Fontaine,concert P. Benoit,?,False,False,1894-1895,N,other,False,False
112,1895-04-09,?,Edward Keurvels & Henry Fontaine,concert P. Benoit,?,False,False,1894-1895,N,other,False,False
113,1895-04-14,1837,Edward Keurvels & Henry Fontaine,Czaar en Timmerman,Albert Lortzing,False,False,1894-1895,N,German,False,True
114,1895-04-16,1834,Edward Keurvels & Henry Fontaine,Een Nacht te Grenada,Conradin Kreutzer,False,False,1894-1895,N,German,False,True
115,1895-04-20,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1894-1895,N,German,False,True
116,1895-04-21,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1894-1895,N,German,False,True
117,1895-04-23,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1894-1895,N,German,False,True
118,1895-04-28,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1894-1895,N,German,False,True
119,1895-04-30,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,True,True,1894-1895,N,German,False,True
120,1895-04-30,?,Edward Keurvels & Henry Fontaine,Bergliot,Edvard Grieg,True,True,1894-1895,N,other,False,False
121,1895-10-01,1889,Edward Keurvels & Henry Fontaine,Brinio,Simon van Milligen,False,False,1895-1896,N,Dutch,True,False
122,1895-10-08,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,False,1895-1896,N,German,False,True
123,1895-10-15,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,False,1895-1896,N,German,False,True
124,1895-10-19,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,False,1895-1896,N,German,False,True
125,1895-10-22,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,False,1895-1896,N,German,False,True
126,1895-10-26,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,False,1895-1896,N,German,False,True
127,1895-10-29,1833,Edward Keurvels & Henry Fontaine,Hans Heiling,Heinrich Marschner,False,False,1895-1896,N,German,False,True
128,1895-10-31,1833,Edward Keurvels & Henry Fontaine,Hans Heiling,Heinrich Marschner,False,False,1895-1896,N,German,False,True
129,1895-11-02,1833,Edward Keurvels & Henry Fontaine,Hans Heiling,Heinrich Marschner,False,False,1895-1896,N,German,False,True
130,1895-11-09,1833,Edward Keurvels & Henry Fontaine,Hans Heiling,Heinrich Marschner,False,False,1895-1896,N,German,False,True
131,1895-11-12,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,False,1895-1896,N,German,False,True
132,1895-11-14,1846,Edward Keurvels & Henry Fontaine,De Wapensmid,Albert Lortzing,False,False,1895-1896,N,German,False,True
133,1895-11-16,1846,Edward Keurvels & Henry Fontaine,De Wapensmid,Albert Lortzing,False,False,1895-1896,N,German,False,True
134,1895-11-19,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,False,1895-1896,N,German,False,True
135,1895-11-23,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1895-1896,N,German,False,True
136,1895-11-26,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1895-1896,N,German,False,True
137,1895-11-30,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1895-1896,N,German,False,True
138,1895-12-03,1846,Edward Keurvels & Henry Fontaine,De Wapensmid,Albert Lortzing,False,False,1895-1896,N,German,False,True
139,1895-12-07,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,False,1895-1896,N,German,False,True
140,1895-12-10,1846,Edward Keurvels & Henry Fontaine,De Wapensmid,Albert Lortzing,False,False,1895-1896,N,German,False,True
141,1895-12-14,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,BedÅich	Smetana,False,False,1895-1896,G,other,False,False
142,1895-12-17,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,BedÅich	Smetana,False,False,1895-1896,N,other,False,False
143,1895-12-21,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,BedÅich	Smetana,False,False,1895-1896,N,other,False,False
144,1895-12-24,1805,Edward Keurvels & Henry Fontaine,Fidelio,Ludwig van Beethoven,False,False,1895-1896,N,German,False,True
145,1895-12-26,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,BedÅich	Smetana,False,False,1895-1896,N,other,False,False
146,1895-12-28,1845,Edward Keurvels & Henry Fontaine,Ondine,Albert Lortzing,False,False,1895-1896,N,German,False,True
147,1895-12-31,1821,Edward Keurvels & Henry Fontaine,De Vrijschutter,Carl Maria von Weber,False,False,1895-1896,N,German,False,True
148,1896-01-04,1866,Edward Keurvels & Henry Fontaine,De Verkochte Bruid,BedÅich	Smetana,False,False,1895-1896,N,other,False,False
149,1895-01-07,1846,Edward Keurvels & Henry Fontaine,De Wapensmid,Albert Lortzing,False,False,1894-1895,N,German,False,True
150,1896-01-09,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1895-1896,G,German,False,True
151,1896-01-11,1845,Edward Keurvels & Henry Fontaine,Tannhauser,Richard Wagner,False,False,1895-1896,N,German,False,True
